   	#	(	)	*	+	,	-	/	0	;	=	A	B	C	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	U	V	W	Y	Z	b	c	f	q	r	s	t	u	v	w	x	y	{	}	
48	 0	 0	 0	 0	 0	 0	 0	 0	 0	r9	s78	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
49	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r14	 0	 0	r14	r14	 0	r14	 0	 0	r14	
50	 0	 0	 0	 0	 0	 0	 0	 0	 0	s79	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
51	 0	s40	 0	 0	 0	 0	 0	 0	s37	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G80	G34	G35	G36	 0	 0	 0	 0	G50	 0	 0	 0	 0	 0	s39	s38	 0	 0	 0	 0	 0	 0	 0	 0	 0	
52	 0	s72	 0	 0	 0	 0	 0	 0	s69	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G66	G67	G68	 0	 0	 0	 0	G81	 0	 0	 0	 0	 0	s71	s70	 0	 0	 0	 0	 0	 0	 0	 0	 0	
53	 0	s72	 0	 0	 0	 0	 0	 0	s69	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G66	G67	G68	 0	 0	 0	 0	G82	 0	 0	 0	 0	 0	s71	s70	 0	 0	 0	 0	 0	 0	 0	 0	 0	
54	r15	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
55	 0	 0	 0	 0	 0	 0	 0	 0	 0	r36	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	
56	 0	s40	 0	 0	 0	 0	 0	 0	s37	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G83	G35	G36	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s39	s38	 0	 0	 0	 0	 0	 0	 0	 0	 0	
57	 0	 0	 0	 0	 0	 0	 0	 0	 0	r18	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	r18	 0	 0	
58	 0	s40	 0	 0	 0	 0	 0	 0	s37	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	G84	G36	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	s39	s38	 0	 0	 0	 0	 0	 0	 0	 0	 0	
